swing,pelvis_produced,pelvis_placed,pelvis_beforeImpactMs,pelvis_tSigmaMs,pelvis_peakDps,pelvis_routeId,thorax_produced,thorax_placed,thorax_beforeImpactMs,thorax_tSigmaMs,thorax_peakDps,thorax_routeId,leadArm_produced,leadArm_placed,leadArm_beforeImpactMs,leadArm_tSigmaMs,leadArm_peakDps,leadArm_routeId,club_produced,club_placed,club_beforeImpactMs,club_tSigmaMs,club_peakDps,club_routeId,order,orderResolved,verdict,routeSummary,clubheadPeakLead
2026-07-03_Mark-Liversedge_Wrist_01__swing_0010,1,1,0,20.26377386276349,878.9290795644588,faceOn,1,1,53.48,17.846740946928218,747.9591983518379,faceOn,1,1,33.463,26.3578851975116,770.5397276563498,faceOn,1,1,0.059,10.13144486465778,1771.057130533547,faceOnClub,thorax → leadArm → club → pelvis,False,unresolved,estimated,0.059
2026-07-03_Mark-Liversedge_Wrist_01__swing_0011,1,1,40.225,32.180372374903534,871.2544897983956,faceOn,1,1,40.225,21.334406062512212,676.436170915556,faceOn,1,1,26.817,15.006471937939692,1050.9272234727075,faceOn,1,1,3.282,26.594500347408555,1789.6038647952737,faceOnClub,pelvis → thorax → leadArm → club,False,unresolved,estimated,57.449
2026-07-04_Mark-Liversedge_Wrist_01__swing_0001,1,0,134.297,44.02782395098511,406.69425258392624,faceOn,1,1,208.181,14.94561313814406,717.5125350932282,faceOn,1,0,53.833,71.45950019119047,610.7890779079853,faceOn,1,1,67.894,11.063586290841318,1768.4619765337932,faceOnClub,thorax → club,True,partial,estimated,51.228
2026-07-04_Mark-Liversedge_Wrist_01__swing_0002,1,1,180.847,31.14860919217071,247.45063041131652,faceOn,1,1,113.907,14.095043944912089,740.5151429634824,faceOn,1,1,113.907,23.766716227585533,673.6612153550539,faceOn,1,1,68.802,10.965867002157854,1830.2006910887155,faceOnClub,pelvis → thorax → leadArm → club,False,unresolved,estimated,52.135
2026-07-04_Mark-Liversedge_Wrist_01__swing_0003,1,0,0,41.498951472731896,476.6110061429795,faceOn,1,1,207.634,9.539113671745586,722.8102605774748,faceOn,1,1,60.122,34.1104896157094,717.6161268006349,faceOn,1,1,24.914,10.93568890402896,1869.3521280827238,faceOnClub,thorax → leadArm → club,False,unresolved,estimated,8.247
2026-07-04_Mark-Liversedge_Wrist_01__swing_0004,1,1,247.868,24.808537936622553,282.03029049553254,faceOn,1,1,53.489,22.10709898001929,580.7948439366259,faceOn,1,1,120.57,16.30274941117842,671.6300803842206,faceOn,1,1,71.188,8.750114269971244,1888.8398658989868,faceOnClub,pelvis → leadArm → club → thorax,False,unresolved,estimated,50.355
2026-07-04_Mark-Liversedge_Wrist_01__swing_0005,1,1,0,25.212694208692568,491.8054263828272,faceOn,1,1,261.213,9.539857047199414,644.1860034130179,faceOn,1,1,100.392,22.407813076384542,647.1754771307005,faceOn,1,1,72.459,9.55092599415023,1803.6370416922957,faceOnClub,thorax → leadArm → club → pelvis,True,other,estimated,55.793
2026-07-04_Mark-Liversedge_Wrist_01__swing_0006,1,1,0,38.9680957938013,426.75820702462994,faceOn,1,1,46.905,24.147747575551435,564.6615550648512,faceOn,1,1,113.836,22.126195495929053,671.2294866841183,faceOn,1,1,66.046,10.173412832080471,1938.537477005425,faceOnClub,leadArm → club → thorax → pelvis,False,unresolved,estimated,16.046
2026-07-04_Mark-Liversedge_Wrist_01__swing_0007,1,0,80.358,48.69021369397613,421.54847663756846,faceOn,1,1,73.511,30.638739834342285,549.1666369341235,faceOn,1,1,100.47,17.55237561197693,679.1821519576895,faceOn,1,1,70.703,9.279988188747692,1719.3790764102316,faceOnClub,leadArm → thorax → club,False,unresolved,estimated,4.037
2026-07-04_Mark-Liversedge_Wrist_01__swing_0008,1,1,167.481,38.29621552051906,213.20433473908642,faceOn,1,1,140.737,27.85384234154263,531.9113269650339,faceOn,1,1,40.279,14.835349532810216,767.9013932125484,faceOn,1,1,28.32,22.94296156958924,1778.2332685628267,faceOnClub,pelvis → thorax → leadArm → club,False,unresolved,estimated,3.32
2026-07-04_Mark-Liversedge_Wrist_01__swing_0009,1,1,0,8.963631533624508,667.3307946907636,faceOn,1,1,53.583,22.401196106371565,593.8174898962028,faceOn,1,1,80.367,21.203329504828325,690.9889172775352,faceOn,1,1,47.406,15.501423020592103,1795.5066975616671,faceOnClub,leadArm → thorax → club → pelvis,False,unresolved,estimated,9.906
