swing_dir,outcome,json_bytes,ppsw_bytes,ms,error
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0002",converted,65282082,6142146,877,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0003",converted,66243673,6245727,912,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0004",converted,65048391,6024685,887,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0005",converted,65153966,6087907,873,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0006",converted,65755604,6125970,888,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0007",converted,65638005,6098684,879,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0008",converted,66016496,6150839,907,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0009",converted,73320010,6772352,977,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0010",converted,65939045,6093865,900,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0011",converted,65990286,6160952,904,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0012",converted,65760099,6099546,897,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0013",converted,65772698,6102120,907,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0014",converted,65302033,6084708,904,""
"C:/PinPointStudio/Mark-Liversedge/2026-07-04_Mark-Liversedge_Wrist_01/swing_0015",converted,65616347,6122790,904,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0001",converted,28899018,2769851,385,""
"C:/PinPointStudio/Mark-Liversedge/2026-09-09_Mark-Liversedge_Wrist_01/swing_0002",converted,28564861,2712767,357,""
